ENSG00000196966	HIST1H3E
ENSG00000106078	COBL
ENSG00000141756	FKBP10
ENSG00000160973	FOXH1
ENSG00000137834	SMAD6
ENSG00000197956	S100A6
ENSG00000146938	NLGN4X
ENSG00000213413	PVRIG
ENSG00000229754	CXCR2P1
ENSG00000173482	PTPRM
ENSG00000164434	FABP7
ENSG00000172081	MOB3A
ENSG00000140368	PSTPIP1
ENSG00000242076	IGKV1-33
ENSG00000239951	IGKV3-20
ENSG00000224597	SVIL-AS1
ENSG00000108821	COL1A1
ENSG00000211673	IGLV3-1
ENSG00000067840	PDZD4
ENSG00000114739	ACVR2B
ENSG00000152104	PTPN14
ENSG00000144677	CTDSPL
ENSG00000136732	GYPC
ENSG00000039068	CDH1
ENSG00000162522	KIAA1522
ENSG00000025708	TYMP
ENSG00000180921	FAM83H
ENSG00000157873	TNFRSF14
ENSG00000158477	CD1A
ENSG00000174004	NRROS
ENSG00000106484	MEST
ENSG00000133083	DCLK1
ENSG00000007384	RHBDF1
ENSG00000007312	CD79B
ENSG00000130600	H19
ENSG00000115648	MLPH
ENSG00000145287	PLAC8
ENSG00000099814	CEP170B
ENSG00000197905	TEAD4
ENSG00000072071	ADGRL1
ENSG00000138755	CXCL9
ENSG00000204642	HLA-F
ENSG00000100079	LGALS2
ENSG00000211677	IGLC2
ENSG00000145632	PLK2
ENSG00000153956	CACNA2D1
ENSG00000106278	PTPRZ1
ENSG00000206557	TRIM71
ENSG00000127955	GNAI1
ENSG00000163565	IFI16
ENSG00000119888	EPCAM
ENSG00000132704	FCRL2
ENSG00000173442	EHBP1L1
ENSG00000114698	PLSCR4
ENSG00000181449	SOX2
ENSG00000170323	FABP4
ENSG00000239839	DEFA3
ENSG00000105357	MYH14
ENSG00000143768	LEFTY2
ENSG00000155307	SAMSN1
ENSG00000116574	RHOU
ENSG00000158457	TSPAN33
ENSG00000135048	TMEM2
ENSG00000012223	LTF
ENSG00000096696	DSP
ENSG00000018625	ATP1A2
ENSG00000105246	EBI3
ENSG00000121653	MAPK8IP1
ENSG00000101004	NINL
ENSG00000177508	IRX3
ENSG00000131459	GFPT2
ENSG00000100234	TIMP3
ENSG00000073331	ALPK1
ENSG00000168758	SEMA4C
ENSG00000132359	RAP1GAP2
ENSG00000131401	NAPSB
ENSG00000084070	SMAP2
ENSG00000076641	PAG1
ENSG00000099250	NRP1
ENSG00000082074	FYB
ENSG00000173585	CCR9
ENSG00000159167	STC1
ENSG00000164308	ERAP2
ENSG00000070190	DAPP1
ENSG00000167642	SPINT2
ENSG00000125968	ID1
ENSG00000137078	SIT1
ENSG00000100055	CYTH4
ENSG00000099284	H2AFY2
ENSG00000189409	MMP23B
ENSG00000149115	TNKS1BP1
ENSG00000125730	C3
ENSG00000132274	TRIM22
ENSG00000168421	RHOH
ENSG00000182809	CRIP2
ENSG00000154277	UCHL1
ENSG00000197536	C5orf56
ENSG00000135604	STX11
ENSG00000135862	LAMC1
ENSG00000143632	ACTA1
ENSG00000151702	FLI1
ENSG00000089472	HEPH
ENSG00000146904	EPHA1
ENSG00000197142	ACSL5
ENSG00000084636	COL16A1
ENSG00000074657	ZNF532
ENSG00000179059	ZFP42
ENSG00000184293	CLECL1
ENSG00000182253	SYNM
ENSG00000008441	NFIX
ENSG00000155962	CLIC2
ENSG00000188820	FAM26F
ENSG00000170476	MZB1
ENSG00000189184	PCDH18
ENSG00000010671	BTK
ENSG00000211598	IGKV4-1
ENSG00000104972	LILRB1
ENSG00000146192	FGD2
ENSG00000134516	DOCK2
ENSG00000102445	KIAA0226L
ENSG00000152601	MBNL1
ENSG00000108828	VAT1
ENSG00000174233	ADCY6
ENSG00000104112	SCG3
ENSG00000143320	CRABP2
ENSG00000132386	SERPINF1
ENSG00000019582	CD74
ENSG00000110446	SLC15A3
ENSG00000107099	DOCK8
ENSG00000128815	WDFY4
ENSG00000174721	FGFBP3
ENSG00000090104	RGS1
ENSG00000213886	UBD
ENSG00000146242	TPBG
ENSG00000158485	CD1B
ENSG00000204482	LST1
ENSG00000166073	GPR176
ENSG00000138449	SLC40A1
ENSG00000149781	FERMT3
ENSG00000213853	EMP2
ENSG00000167601	AXL
ENSG00000148737	TCF7L2
ENSG00000135525	MAP7
ENSG00000135083	CCNJL
ENSG00000132749	MTL5
ENSG00000082684	SEMA5B
ENSG00000196208	GREB1
ENSG00000182272	B4GALNT4
ENSG00000205726	ITSN1
ENSG00000164692	COL1A2
ENSG00000100604	CHGA
ENSG00000166927	MS4A7
ENSG00000087245	MMP2
ENSG00000149131	SERPING1
ENSG00000260682	RN7SKP176
ENSG00000012171	SEMA3B
ENSG00000119986	AVPI1
ENSG00000075043	KCNQ2
ENSG00000165272	AQP3
ENSG00000186439	TRDN
ENSG00000182162	P2RY8
ENSG00000234745	HLA-B
ENSG00000111704	NANOG
ENSG00000115267	IFIH1
ENSG00000145423	SFRP2
ENSG00000113319	RASGRF2
ENSG00000124006	OBSL1
ENSG00000182985	CADM1
ENSG00000178685	PARP10
ENSG00000241186	TDGF1
ENSG00000169994	MYO7B
ENSG00000179299	NSUN7
ENSG00000144366	GULP1
ENSG00000092068	SLC7A8
ENSG00000163687	DNASE1L3
ENSG00000026559	KCNG1
ENSG00000115085	ZAP70
ENSG00000164879	CA3
ENSG00000100320	RBFOX2
ENSG00000176092	AIM1L
ENSG00000229807	XIST
ENSG00000142173	COL6A2
ENSG00000130707	ASS1
ENSG00000112769	LAMA4
ENSG00000167286	CD3D
ENSG00000180190	TDRP
ENSG00000131378	RFTN1
ENSG00000075391	RASAL2
ENSG00000109686	SH3D19
ENSG00000171885	AQP4
ENSG00000151276	MAGI1
ENSG00000142675	CNKSR1
ENSG00000181885	CLDN7
ENSG00000101335	MYL9
ENSG00000144824	PHLDB2
ENSG00000169896	ITGAM
ENSG00000213689	TREX1
ENSG00000213860	RPL21P75
ENSG00000119917	IFIT3
ENSG00000162490	DRAXIN
ENSG00000100600	LGMN
ENSG00000172037	LAMB2
ENSG00000134247	PTGFRN
ENSG00000099954	CECR2
ENSG00000169783	LINGO1
ENSG00000168672	FAM84B
ENSG00000043462	LCP2
ENSG00000015285	WAS
ENSG00000028277	POU2F2
ENSG00000165905	GYLTL1B
ENSG00000130147	SH3BP4
ENSG00000105655	ISYNA1
ENSG00000134061	CD180
ENSG00000173402	DAG1
ENSG00000141293	SKAP1
ENSG00000126882	FAM78A
ENSG00000140416	TPM1
ENSG00000198910	L1CAM
ENSG00000162998	FRZB
ENSG00000059804	SLC2A3
ENSG00000100100	PIK3IP1
ENSG00000004399	PLXND1
ENSG00000174307	PHLDA3
ENSG00000159251	ACTC1
ENSG00000104368	PLAT
ENSG00000270246	RP11-701H24
ENSG00000126803	HSPA2
ENSG00000188322	SBK1
ENSG00000234184	RP5-887A10
ENSG00000182534	MXRA7
ENSG00000103522	IL21R
ENSG00000069424	KCNAB2
ENSG00000163131	CTSS
ENSG00000081181	ARG2
ENSG00000152137	HSPB8
ENSG00000157303	SUSD3
ENSG00000166741	NNMT
ENSG00000150977	RILPL2
ENSG00000059377	TBXAS1
ENSG00000247774	PCED1B-AS1
ENSG00000115963	RND3
ENSG00000008394	MGST1
ENSG00000118508	RAB32
ENSG00000187955	COL14A1
ENSG00000204257	HLA-DMA
ENSG00000163359	COL6A3
ENSG00000120280	CXorf21
ENSG00000134242	PTPN22
ENSG00000011028	MRC2
ENSG00000168961	LGALS9
ENSG00000102996	MMP15
ENSG00000093072	CECR1
ENSG00000157110	RBPMS
ENSG00000147862	NFIB
ENSG00000166428	PLD4
ENSG00000137267	TUBB2A
ENSG00000196616	ADH1B
ENSG00000175445	LPL
ENSG00000010278	CD9
ENSG00000046604	DSG2
ENSG00000106366	SERPINE1
ENSG00000137693	YAP1
ENSG00000084207	GSTP1
ENSG00000169439	SDC2
ENSG00000028137	TNFRSF1B
ENSG00000168646	AXIN2
ENSG00000211934	IGHV1-2
ENSG00000112799	LY86
ENSG00000104814	MAP4K1
ENSG00000172724	CCL19
ENSG00000167771	RCOR2
ENSG00000107731	UNC5B
ENSG00000265206	RP5-1171I10
ENSG00000168010	ATG16L2
ENSG00000185222	WBP5
ENSG00000249430	CTD-2231H16
ENSG00000132698	RAB25
ENSG00000166206	GABRB3
ENSG00000064886	CHI3L2
ENSG00000171724	VAT1L
ENSG00000084731	KIF3C
ENSG00000145850	TIMD4
ENSG00000166426	CRABP1
ENSG00000137077	CCL21
ENSG00000211745	TRBV4-2
ENSG00000165215	CLDN3
ENSG00000102038	SMARCA1
ENSG00000122877	EGR2
ENSG00000233056	ERVH48-1
ENSG00000198520	C1orf228
ENSG00000163362	C1orf106
ENSG00000163251	FZD5
ENSG00000121552	CSTA
ENSG00000063660	GPC1
ENSG00000159753	RLTPR
ENSG00000189143	CLDN4
ENSG00000213654	GPSM3
ENSG00000006042	TMEM98
ENSG00000162894	FCMR
ENSG00000115935	WIPF1
ENSG00000214796	RP11-480I12
ENSG00000198729	PPP1R14C
ENSG00000146674	IGFBP3
ENSG00000117091	CD48
ENSG00000035720	STAP1
ENSG00000105369	CD79A
ENSG00000126264	HCST
ENSG00000067066	SP100
ENSG00000135097	MSI1
ENSG00000237289	CKMT1B
ENSG00000141198	TOM1L1
ENSG00000165434	PGM2L1
ENSG00000204592	HLA-E
ENSG00000165996	HACD1
ENSG00000205517	RGL3
ENSG00000156687	UNC5D
ENSG00000074590	NUAK1
ENSG00000074410	CA12
ENSG00000074416	MGLL
ENSG00000160200	CBS
ENSG00000081237	PTPRC
ENSG00000101210	EEF1A2
ENSG00000179899	PHC1P1
ENSG00000168077	SCARA3
ENSG00000115956	PLEK
ENSG00000154059	IMPACT
ENSG00000077420	APBB1IP
ENSG00000211899	IGHM
ENSG00000056487	PHF21B
ENSG00000075340	ADD2
ENSG00000185885	IFITM1
ENSG00000179344	HLA-DQB1
ENSG00000106066	CPVL
ENSG00000136160	EDNRB
ENSG00000211653	IGLV1-40
ENSG00000024422	EHD2
ENSG00000151458	ANKRD50
ENSG00000101871	MID1
ENSG00000142512	SIGLEC10
ENSG00000177409	SAMD9L
ENSG00000117090	SLAMF1
ENSG00000134769	DTNA
ENSG00000254277	RP11-1144P22
ENSG00000103044	HAS3
ENSG00000011426	ANLN
ENSG00000142765	SYTL1
ENSG00000083857	FAT1
ENSG00000164877	MICALL2
ENSG00000183486	MX2
ENSG00000140859	KIFC3
ENSG00000105894	PTN
ENSG00000204397	CARD16
ENSG00000135905	DOCK10
ENSG00000136235	GPNMB
ENSG00000172716	SLFN11
ENSG00000170775	GPR37
ENSG00000153904	DDAH1
ENSG00000165795	NDRG2
ENSG00000048462	TNFRSF17
ENSG00000198771	RCSD1
ENSG00000072110	ACTN1
ENSG00000166265	CYYR1
ENSG00000065357	DGKA
ENSG00000115884	SDC1
ENSG00000128641	MYO1B
ENSG00000100365	NCF4
ENSG00000243004	AC005062
ENSG00000158050	DUSP2
ENSG00000141738	GRB7
ENSG00000169174	PCSK9
ENSG00000222414	RNU2-59P
ENSG00000166450	PRTG
ENSG00000264462	MIR3648-2
ENSG00000120256	LRP11
ENSG00000115414	FN1
ENSG00000149948	HMGA2
ENSG00000117228	GBP1
ENSG00000067445	TRO
ENSG00000125354	SEPT6
ENSG00000129991	TNNI3
ENSG00000101850	GPR143
ENSG00000187243	MAGED4B
ENSG00000172380	GNG12
ENSG00000112655	PTK7
ENSG00000141447	OSBPL1A
ENSG00000110934	BIN2
ENSG00000139800	ZIC5
ENSG00000167244	IGF2
ENSG00000152284	TCF7L1
ENSG00000095739	BAMBI
ENSG00000088367	EPB41L1
ENSG00000085733	CTTN
ENSG00000163563	MNDA
ENSG00000132185	FCRLA
ENSG00000129226	CD68
ENSG00000132031	MATN3
ENSG00000110092	CCND1
ENSG00000103855	CD276
ENSG00000186088	GSAP
ENSG00000173210	ABLIM3
ENSG00000117114	ADGRL2
ENSG00000119938	PPP1R3C
ENSG00000146094	DOK3
ENSG00000231389	HLA-DPA1
ENSG00000164294	GPX8
ENSG00000174123	TLR10
ENSG00000074527	NTN4
ENSG00000172578	KLHL6
ENSG00000077274	CAPN6
ENSG00000128045	RASL11B
ENSG00000182704	TSKU
ENSG00000118785	SPP1
ENSG00000258947	TUBB3
ENSG00000204764	RANBP17
ENSG00000160191	PDE9A
ENSG00000134323	MYCN
ENSG00000000938	FGR
ENSG00000180096	SEPT1
ENSG00000011566	MAP4K3
ENSG00000095585	BLNK
ENSG00000164171	ITGA2
ENSG00000030419	IKZF2
ENSG00000137273	FOXF2
ENSG00000129682	FGF13
ENSG00000121594	CD80
ENSG00000164076	CAMKV
ENSG00000129422	MTUS1
ENSG00000112378	PERP
ENSG00000167077	MEI1
ENSG00000226979	LTA
ENSG00000240801	AC132217
ENSG00000179178	TMEM125
ENSG00000056998	GYG2
ENSG00000074219	TEAD2
ENSG00000124772	CPNE5
ENSG00000131773	KHDRBS3
ENSG00000184344	GDF3
ENSG00000253230	LINC00599
ENSG00000134013	LOXL2
ENSG00000197540	GZMM
ENSG00000186493	C5orf38
ENSG00000211648	IGLV1-47
ENSG00000115641	FHL2
ENSG00000136110	LECT1
ENSG00000178363	CALML3
ENSG00000211651	IGLV1-44
ENSG00000126561	STAT5A
ENSG00000164691	TAGAP
ENSG00000111319	SCNN1A
ENSG00000092758	COL9A3
ENSG00000166165	CKB
ENSG00000158747	NBL1
ENSG00000142949	PTPRF
ENSG00000166033	HTRA1
ENSG00000161249	DMKN
ENSG00000196878	LAMB3
ENSG00000135899	SP110
ENSG00000196664	TLR7
ENSG00000156127	BATF
ENSG00000106333	PCOLCE
ENSG00000057019	DCBLD2
ENSG00000121900	TMEM54
ENSG00000184922	FMNL1
ENSG00000151726	ACSL1
ENSG00000123329	ARHGAP9
ENSG00000106541	AGR2
ENSG00000188157	AGRN
ENSG00000164626	KCNK5
ENSG00000111679	PTPN6
ENSG00000129474	AJUBA
ENSG00000241351	IGKV3-11
ENSG00000189221	MAOA
ENSG00000232677	LINC00665
ENSG00000137142	IGFBPL1
ENSG00000072858	SIDT1
ENSG00000156966	B3GNT7
ENSG00000172183	ISG20
ENSG00000147601	TERF1
ENSG00000162627	SNX7
ENSG00000254087	LYN
ENSG00000211666	IGLV2-14
ENSG00000135426	TESPA1
ENSG00000142156	COL6A1
ENSG00000062038	CDH3
ENSG00000023445	BIRC3
ENSG00000149591	TAGLN
ENSG00000135063	FAM189A2
ENSG00000073350	LLGL2
ENSG00000170745	KCNS3
ENSG00000169169	CPT1C
ENSG00000185559	DLK1
ENSG00000120756	PLS1
ENSG00000211659	IGLV3-25
ENSG00000006118	TMEM132A
ENSG00000129038	LOXL1
ENSG00000060718	COL11A1
ENSG00000163430	FSTL1
ENSG00000145623	OSMR
ENSG00000026103	FAS
ENSG00000050165	DKK3
ENSG00000167693	NXN
ENSG00000162458	FBLIM1
ENSG00000197632	SERPINB2
ENSG00000204262	COL5A2
ENSG00000100344	PNPLA3
ENSG00000179583	CIITA
ENSG00000168542	COL3A1
ENSG00000091136	LAMB1
ENSG00000189377	CXCL17
ENSG00000187867	PALM3
ENSG00000138759	FRAS1
ENSG00000008311	AASS
ENSG00000163435	ELF3
ENSG00000158106	RHPN1
ENSG00000185070	FLRT2
ENSG00000162267	ITIH3
ENSG00000124145	SDC4
ENSG00000248329	APELA
ENSG00000130775	THEMIS2
ENSG00000249751	ECSCR
ENSG00000141968	VAV1
ENSG00000170627	GTSF1
ENSG00000136573	BLK
ENSG00000162711	NLRP3
ENSG00000198682	PAPSS2
ENSG00000165168	CYBB
ENSG00000080503	SMARCA2
ENSG00000174705	SH3PXD2B
ENSG00000111799	COL12A1
ENSG00000139192	TAPBPL
ENSG00000158488	CD1E
ENSG00000160255	ITGB2
ENSG00000136603	SKIL
ENSG00000049130	KITLG
ENSG00000158164	TMSB15A
ENSG00000104783	KCNN4
ENSG00000086730	LAT2
ENSG00000056558	TRAF1
ENSG00000142192	APP
ENSG00000151150	ANK3
ENSG00000013364	MVP
ENSG00000092421	SEMA6A
ENSG00000153563	CD8A
ENSG00000154589	LY96
ENSG00000131711	MAP1B
ENSG00000164093	PITX2
ENSG00000085117	CD82
ENSG00000073754	CD5L
ENSG00000142627	EPHA2
ENSG00000203710	CR1
ENSG00000198363	ASPH
ENSG00000125850	OVOL2
ENSG00000253701	AL928768
ENSG00000155629	PIK3AP1
ENSG00000084628	NKAIN1
ENSG00000137731	FXYD2
ENSG00000183723	CMTM4
ENSG00000106560	GIMAP2
ENSG00000111335	OAS2
ENSG00000109255	NMU
ENSG00000138119	MYOF
ENSG00000006468	ETV1
ENSG00000180448	HMHA1
ENSG00000106537	TSPAN13
ENSG00000184012	TMPRSS2
ENSG00000119280	C1orf198
ENSG00000067141	NEO1
ENSG00000109089	CDR2L
ENSG00000142871	CYR61
ENSG00000050555	LAMC3
ENSG00000187498	COL4A1
ENSG00000174500	GCSAM
ENSG00000255666	RP11-867G2
ENSG00000135447	PPP1R1A
ENSG00000135750	KCNK1
ENSG00000161929	SCIMP
ENSG00000143153	ATP1B1
ENSG00000143061	IGSF3
ENSG00000211668	IGLV2-11
ENSG00000106992	AK1
ENSG00000166352	C11orf74
ENSG00000135218	CD36
ENSG00000165025	SYK
ENSG00000072832	CRMP1
ENSG00000137841	PLCB2
ENSG00000166900	STX3
ENSG00000110876	SELPLG
ENSG00000176887	SOX11
ENSG00000166532	RIMKLB
ENSG00000103811	CTSH
ENSG00000139835	GRTP1
ENSG00000260834	RP11-256I9
ENSG00000128052	KDR
ENSG00000255192	NANOGP8
ENSG00000127951	FGL2
ENSG00000165588	OTX2
ENSG00000169242	EFNA1
ENSG00000153250	RBMS1
ENSG00000241163	LINC00877
ENSG00000157601	MX1
ENSG00000074181	NOTCH3
ENSG00000269897	COMMD3-BMI1
ENSG00000106538	RARRES2
ENSG00000168671	UGT3A2
ENSG00000113580	NR3C1
ENSG00000102760	RGCC
ENSG00000076662	ICAM3
ENSG00000154545	MAGED4
ENSG00000088387	DOCK9
ENSG00000131203	IDO1
ENSG00000104921	FCER2
ENSG00000140678	ITGAX
ENSG00000144063	MALL
ENSG00000012124	CD22
ENSG00000176105	YES1
ENSG00000101443	WFDC2
ENSG00000123989	CHPF
ENSG00000197747	S100A10
ENSG00000151718	WWC2
ENSG00000198821	CD247
ENSG00000065361	ERBB3
ENSG00000197471	SPN
ENSG00000269404	SPIB
ENSG00000130176	CNN1
ENSG00000065054	SLC9A3R2
ENSG00000126759	CFP
ENSG00000145088	EAF2
ENSG00000168918	INPP5D
ENSG00000102575	ACP5
ENSG00000162739	SLAMF6
ENSG00000167644	C19orf33
ENSG00000181617	FDCSP
ENSG00000003989	SLC7A2
ENSG00000154734	ADAMTS1
ENSG00000148671	ADIRF
ENSG00000128849	CGNL1
ENSG00000211772	TRBC2
ENSG00000150687	PRSS23
ENSG00000066735	KIF26A
ENSG00000157227	MMP14
ENSG00000067048	DDX3Y
ENSG00000173198	CYSLTR1
ENSG00000066468	FGFR2
ENSG00000188488	SERPINA5
ENSG00000169442	CD52
ENSG00000171608	PIK3CD
ENSG00000175567	UCP2
ENSG00000176907	C8orf4
ENSG00000167895	TMC8
ENSG00000182492	BGN
ENSG00000112852	PCDHB2
ENSG00000141401	IMPA2
ENSG00000188153	COL4A5
ENSG00000240563	L1TD1
ENSG00000043355	ZIC2
ENSG00000182195	LDOC1
ENSG00000137101	CD72
ENSG00000142910	TINAGL1
ENSG00000153707	PTPRD
ENSG00000065534	MYLK
ENSG00000204161	C10orf128
ENSG00000118308	LRMP
ENSG00000232445	RP11-132A1
ENSG00000254934	LINC00678
ENSG00000128567	PODXL
ENSG00000075213	SEMA3A
ENSG00000160113	NR2F6
ENSG00000064042	LIMCH1
ENSG00000140030	GPR65
ENSG00000244731	C4A
ENSG00000162512	SDC3
ENSG00000101336	HCK
ENSG00000147869	CER1
ENSG00000007866	TEAD3
ENSG00000135047	CTSL
ENSG00000227507	LTB
ENSG00000148143	ZNF462
ENSG00000176842	IRX5
ENSG00000113758	DBN1
ENSG00000130768	SMPDL3B
ENSG00000167613	LAIR1
ENSG00000163017	ACTG2
ENSG00000139626	ITGB7
ENSG00000125170	DOK4
ENSG00000182871	COL18A1
ENSG00000134802	SLC43A3
ENSG00000132640	BTBD3
ENSG00000151208	DLG5
ENSG00000147027	TMEM47
ENSG00000173559	NABP1
ENSG00000166831	RBPMS2
ENSG00000120899	PTK2B
ENSG00000186205	MARC1
ENSG00000130202	PVRL2
ENSG00000105639	JAK3
ENSG00000005884	ITGA3
ENSG00000068079	IFI35
ENSG00000183160	TMEM119
ENSG00000172020	GAP43
ENSG00000126822	PLEKHG3
ENSG00000077942	FBLN1
ENSG00000004468	CD38
ENSG00000141404	GNAL
ENSG00000144036	EXOC6B
ENSG00000110031	LPXN
ENSG00000116774	OLFML3
ENSG00000131016	AKAP12
ENSG00000227039	ITGB2-AS1
ENSG00000143851	PTPN7
ENSG00000131037	EPS8L1
ENSG00000006047	YBX2
ENSG00000196526	AFAP1
ENSG00000076716	GPC4
ENSG00000211675	IGLC1
ENSG00000241106	HLA-DOB
ENSG00000153071	DAB2
ENSG00000175029	CTBP2
ENSG00000198851	CD3E
ENSG00000137767	SQRDL
ENSG00000204472	AIF1
ENSG00000158966	CACHD1
ENSG00000159403	C1R
ENSG00000211966	IGHV5-51
ENSG00000170421	KRT8
ENSG00000111907	TPD52L1
ENSG00000022267	FHL1
ENSG00000157985	AGAP1
ENSG00000113645	WWC1
ENSG00000165178	NCF1C
ENSG00000130762	ARHGEF16
ENSG00000138162	TACC2
ENSG00000260266	CTD-2311M21
ENSG00000052344	PRSS8
ENSG00000113739	STC2
ENSG00000175832	ETV4
ENSG00000175463	TBC1D10C
ENSG00000215866	LINC01356
ENSG00000268388	FENDRR
ENSG00000129675	ARHGEF6
ENSG00000211896	IGHG1
ENSG00000183918	SH2D1A
ENSG00000137801	THBS1
ENSG00000006704	GTF2IRD1
ENSG00000153404	PLEKHG4B
ENSG00000205744	DENND1C
ENSG00000089127	OAS1
ENSG00000244682	FCGR2C
ENSG00000173372	C1QA
ENSG00000196411	EPHB4
ENSG00000129824	RPS4Y1
ENSG00000138336	TET1
ENSG00000152689	RASGRP3
ENSG00000205213	LGR4
ENSG00000121068	TBX2
ENSG00000173432	SAA1
ENSG00000078589	P2RY10
ENSG00000154096	THY1
ENSG00000260362	RP11-297M9
ENSG00000162437	RAVER2
ENSG00000178531	CTXN1
ENSG00000136167	LCP1
ENSG00000261801	LOXL1-AS1
ENSG00000105976	MET
ENSG00000166710	B2M
ENSG00000138964	PARVG
ENSG00000165912	PACSIN3
ENSG00000196139	AKR1C3
ENSG00000224373	IGHV4-59
ENSG00000170542	SERPINB9
ENSG00000169744	LDB2
ENSG00000137942	FNBP1L
ENSG00000171224	C10orf35
ENSG00000271856	LINC01215
ENSG00000072041	SLC6A15
ENSG00000007062	PROM1
ENSG00000148468	FAM171A1
ENSG00000133026	MYH10
ENSG00000183087	GAS6
ENSG00000175274	TP53I11
ENSG00000104341	LAPTM4B
ENSG00000130821	SLC6A8
ENSG00000126353	CCR7
ENSG00000138685	FGF2
ENSG00000187079	TEAD1
ENSG00000079102	RUNX1T1
ENSG00000211747	TRBV20-1
ENSG00000109472	CPE
ENSG00000130303	BST2
ENSG00000240864	IGKV1-16
ENSG00000164265	SCGB3A2
ENSG00000143845	ETNK2
ENSG00000205358	MT1H
ENSG00000105851	PIK3CG
ENSG00000067606	PRKCZ
ENSG00000074047	GLI2
ENSG00000142449	FBN3
ENSG00000101115	SALL4
ENSG00000100097	LGALS1
ENSG00000121005	CRISPLD1
ENSG00000133980	VRTN
ENSG00000248605	CTD-2306M5
ENSG00000140853	NLRC5
ENSG00000166349	RAG1
ENSG00000018408	WWTR1
ENSG00000174125	TLR1
ENSG00000153064	BANK1
ENSG00000204264	PSMB8
ENSG00000112561	TFEB
ENSG00000236656	RP11-144L1
ENSG00000157570	TSPAN18
ENSG00000143416	SELENBP1
ENSG00000137265	IRF4
ENSG00000026751	SLAMF7
ENSG00000166833	NAV2
ENSG00000147255	IGSF1
ENSG00000187772	LIN28B
ENSG00000132965	ALOX5AP
ENSG00000039560	RAI14
ENSG00000138771	SHROOM3
ENSG00000245532	NEAT1
ENSG00000224137	AC079767
ENSG00000134202	GSTM3
ENSG00000185275	CD24P4
ENSG00000160963	COL26A1
ENSG00000169403	PTAFR
ENSG00000118257	NRP2
